"theme","quote","attribution","bio","challenge"
"Indispensability","Everyone has a unique role.  Everyone, including you and perhaps especially you, is indispensable.","Nathaniel Hawthorne","Hawthorne was a 19th century American novelist and short story writer best known for his penmanship of The Scarlet Letter.","The Challenge for today is to notice two unique qualities that make you who you are and celebrate yourself."
"Experience","If you hold a cat by the tail you learn things you cannot learn any other way.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is to think of three lessons you've learned from experiences you've gone through."
"Love","Many people today are teaching tolerance.  If that's all we can hope for, we've fallen far short of the mark. Don't settle for tolerance.  Choose love and celebrate life!","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to create an  opportunity to share your love in a direct way.  Choose love with everyone you see, starting with yourself."
"Growth","When you're green, you're growing.  When you're ripe, you rot.","Ray Kroc","Kroc got his start as a traveling salesman selling multi-mixer milkshake machines to diners.  In 1948, he sold a mixer to the McDonald brothers for their burger restaurant in San Bernardino, California.  Kroc took over the then small-scale McDonald's Corporation franchise in 1954 and built it into the most successful fast-food operation in the world.","The Challenge for today is to look at an  area of your life where you have become stuck in old habits, beliefs and behaviors.  Choose to open your heart and mind to new possibilities."
"Change","Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.","Margaret Mead","Mead was an American cultural anthropologist who was a frequently featured writer and speaker in the mass media throughout the 1960s and 1970s.","The Challenge for today is to identify a change you'd like to make in your school or in your life and join with others to create it."
"Be Gentle","All my life I been like a doubled up fist...poundin', smashin', drivin'; now I'm going to loosen these doubled up hands and touch things easy with them.","Tennessee Williams","Originally born Thomas Lanier Williams, in 1939 this American playwright chose the nickname 'Tennessee' to honor the state of his father's birth.  He won the Pulitzer Prize for Drama for A Streetcar Named Desire in 1948 and Cat on a Hot Tin Roof in 1955.","The Challenge for today is to think of three things in your life that you could do more gently."
"Courage","One man of courage makes a majority.","Andrew Jackson","Jackson, nicknamed 'Old Hickory' for his renowned roughness, was the seventh President of the United States.  His political ambition, combined with the masses of people, shaped the modern Democratic Party.  ","The Challenge for today is to choice one opportunity to speak your voice and make your opinions known."
"Face the Challenge","Not everything that is faced can be changed, but nothing can be changed until it is faced.","James Baldwin","Baldwin was an American novelist, writer, playwright, poet, essayist and civil rights activist.","The Challenge for today is to look at your life and select one issue you need to face."
"Truth","I believe that unarmed truth and unconditional love will have the final word in reality.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to share your truth with two friends or family members you love.  Let them know what they mean to you."
"Optimism","Few things in the world are more powerful than a positive push, a smile, or a word of optimism and hope.","Richard M. DeVos","DeVos is a billionaire co-founder of Amway, now known as Alticor.  In 2006, Forbes magazine listed him as the 73rd wealthiest person in the United States.  He is the owner of the Orlando Magic professional basketball team.","The Challenge for today is to go out of your way to share hope and optimism with someone who needs a lift."
"Humanity","It is a terrible and inexorable law that one cannot deny the humanity of another without diminishing one's own; in the face of one's victim, one sees oneself.","James Baldwin","Baldwin was an American novelist, writer, playwright, poet, essayist and civil rights activist.","The Challenge for today is to take a close look at whom you judge or mistreat in your life.  How can you change your focus and take whatever actions you can to make things right?"
"Analysis","There is such thing as paralysis by analysis and I think I reached that point.","Alanis Morissette","Morissette, born in Canada in 1974, is a self-proclaimed Canadian-American whose international debut album remains the highest selling debut album by a female artist in the U.S.","The Challenge for today is to think of two situations in your life where you should take action and stop analyzing."
"Judgment","When you see a worthy person, try and emulate him. When you see an unworthy person, then examine yourself.","Confucius","Confucius was a Chinese thinker and social philosopher, whose teachings deeply influenced Chinese, Korean, Japanese and Vietnamese thought and life.  His philosophy emphasized personal and governmental morality, correctness of social relationship, justice and sincerity.  Confucius' thoughts have been developed into a system known as Confucianism.","The Challenge for today is to look for two worthy, positive role models and do your best to emulate them."
"Knowledge","He who, to what he sees, adds observation, and to what he reads, reflection, is in the right road to knowledge, provided that in scrutinizing the hearts of others, he neglects not his own.","Charles Caleb Colton","Colton was an English cleric, writer, and collector, well-known for his eccentricities.","The Challenge for today is to pick on instance to give yourself the gift of knowledge by honestly reflecting on what you see and learn."
"Power","Only a man who knows what it is like to be defeated can reach down to the bottom of his soul and come up with the extra ounce of power it takes to win when the match is even.","Muhammad Ali","Ali is a retired American boxer and former three-time World Heavyweight Champion. To date, he remains the only man to have won this championship three times.","The Challenge for today is to dig down deep and find whatever it takes to accomplish your task."
"Commitment","The quality of a person's life is in direct proportion to their commitment to excellence, regardless of their chosen field of endeavor.","Vince Lombardi","Lombardi was an American football coach.  He was the head coach of the Green Bay Packers for the NFL from 1959-67.  During his nine-year coaching career, he won five league championships.  After coaching the Packers, Lombardi took a one-year retirement and returned as head coach of the Washington Redskins for the 1969 season.","The Challenge for today is to consider how you are living your life.  Are you committed to excellence or do you settle for just getting by?  How can you choose excellence in all you do?"
"The World Before You","The world is before you, and you need not take it or leave it as it was when you came in.","James Baldwin","Baldwin was an American novelist, writer, playwright, poet, essayist and civil rights activist.","The Challenge for today is to notice what's happening in one instance, choose how you'd like things to be and then take action to make the world more to your liking."
"Resistance","What we resist persists.","Sonia Johnson","Johnson is an American feminist, activist and writer.  She was an outspoken supporter of the Equal Rights Amendment.  In the late 1970s she was publicly critical of the position of The Church of Jesus Christ of Latter-day Saints, of which she was a member, against the proposed amendment.  She was eventually excommunicated from the church for her activities and went on to publish several radical feminist books.","The Challenge for today is think of two difficulties you are resisting and think of a possible solution for both."
"Responsibility","The price of greatness is responsibility.","Winston Churchill","Churchill was a British politician known chiefly for his leadership of the United Kingdom during World War II.  He served as Prime Minister of the United Kingdom from 1940 to 1945 and again from 1951 to 1955.  Churchill was a noted statesman and orator in addition to being an officer in the British Army, a historian, a Nobel Prize-winning writer and an artist.","The Challenge for today is to take 100% responsibility for all of your actions.  Make a very special point to follow through on at least one commitment you make.  Choose to be 'count-on-able."
"Focus on Yourself","Everyone thinks of changing the world.","Leo Tolstoy","Tolstoy was a Russian writer widely regarded as one of the greatest novelists of all time.  His masterpieces, War and Peace and Anna Karenina, vividly depict 19th-century Russian life.","The Challenge for today is to keep your focus on you.  What is it you'd like to change about who you are and how you relate with others?"
"Social Justice","Until the great mass of the people shall be filled with the sense of responsibility for each other's welfare, social justice can never be attained.","Helen Keller","Keller was an American author, activist and lecturer.  She was the first deaf blind person to have graduated from college.  What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to find a chance to step outside yourself and look out for the welfare of others."
"Mistakes","As long as the world is turning and spinning, we're going to be dizzy and we're going to make mistakes.","Mel Brooks","Brooks is an American director, writer, composer, lyricist, comedian, actor and producer who has won an Emmy, a Grammy, an Oscar and a Tony award.  Three of his films (Blazing Saddles, The Producers and Young Frankenstein) ranked in the American Film Institute's Top 20 list of the Top 100 list of comedy films of all-time.","The Challenge for today is to acknowledge a mistake you've made during life that, at the time, seemed insurmountable. "
"Hard Work","Far and away the best prize that life offers is the chance to work hard at work worth doing.","Theodore Roosevelt","Roosevelt, also known as T.R. or Teddy, was the 26th President of the United States, a leader of the Republican Party and a leader of the Progressive Movement.  He was a governor of New York and a professional historian, naturalist, explorer, author and soldier.  He distrusted wealthy businessmen and, while serving as President, fought for a fair shake for both the average citizen and the businessman.  The teddy bear was named after him.","The Challenge for today is to consciously put forward your best effort in at least one thing that you do. "
"Winning","It's not the will to win that matters -- everyone has that.  It's the will to prepare to win that matters.","Paul 'Bear' Bryant","Paul William Bryant was an American college football coach who, at the time of his retirement, held the record for most wins as a head coach in collegiate football history.","The Challenge for today is to think of a goal and plan three steps you could take in order to achieve it."
"Tenacity","When you come to the end of your rope, tie a knot and hang on.","Franklin D. Roosevelt","Roosevelt, often referred to by his initials FDR, was the 32nd president of the United States.  He was the only president to serve more than two terms.  During the Great Depression of the 1930s, Roosevelt created the New Deal to provide relief for the unemployed, recovery of the economy and reform of the economic and banking systems.  What is least known about FDR is that he contracted Polio and spent most of his presidency trying to hide his illness from the public eye.","The Challenge for today is to stay committed to a goal.  Stay creative and remember, you have all you need to get through the situation."
"Change","Change will not come if we wait for some other person or some other time.  We are the ones we've been waiting for.  We are the change we seek.","Barack Obama","Obama is the first African-American to hold the office of President of the United States.","The Challenge for today is to thank two people who model change in your community and thank them."
"Desire","Desire is possibility seeking expression.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to take the time to really notice what you feel passionate about.  Your passions can guide you to the life of your dreams."
"Be a Beginner","Be willing to be a beginner every single morning...","Meister Eckhart","Eckhart was one of the most influential 14th Century Christian Neo-Platonists of his time.  He wrote on metaphysics and spiritual psychology.  He drew from mythic imagery and was noted for his sermons communicating the metaphorical content of the gospels to laymen and clergy alike.  Most German philosophers have been influenced by his work.","The Challenge for today is to stay open to learning new things."
"Education","The difference between an educated and uneducated man is the same as the difference between being alive and being dead.","Aristotle","Aristotle was a Greek philosopher, a student of Plato and teacher of Alexander the Great.  He is one of the most important founding figures in Western philosophy, encompassing morality and aesthetics, logic and science, politics and metaphysics.  His influence has shaped modern physics as we know it.  His earliest studies were focused on logic which has since played an instrumental role in what scientists now call 'formal logic.","The Challenge for today is to get the very best you can from at least two educational experiences you have."
"Capabilities","If there must be a stereotype, let it have nothing to do with race, creed, color, gender or advantage.  Let it have to do with effort, energy, ideas, commitment and capabilities.","Dan Zadra","Zadra is a leading authority on strategic communications.  He is the founder and Creative Cirector of Compendium Inc., where he produces award-winning books, magazines and executive training and communication programs.  Zadra has served as consultant for several Fortune 500 Companies.","The Challenge for today is to look for greatness in everyone you meet."
"Security and Risk-Taking","Security is mostly a superstition. ...Life is either a daring adventure or nothing.","Helen Keller","Keller was an American author, activist and lecturer.  She was the first deaf blind person to have graduated from college.  What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to take one risk of which you can be proud.  Try something new, reach out to someone you don't know or speak up when you normally would be quiet.  Do whatever it is that might be a healthy risk for you."
"Teachers","I'm embarrassed every time I look a teacher in the eye, because we ask them to do so much for so little.","Phil McGraw","McGraw, best known as Dr. Phil, is an American television personality, author, and former psychologist.","The Challenge for today is to thank two teachers for the work they do."
"Participation","We can do more than belong, we can participate.","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to get involved.  Do something positive to be a force for change."
"Friendship","If you don't have enemies, you don't have character.","Paul Newman","Newman was an American actor, film director, entrepreneur, humanitarian and auto racing enthusiast.  He won numerous awards, including an Academy Award, three Golden Globe Awards and an Emmy award.  He was co-founder of Newman's Own food company, from which he donated all post-tax profits and royalties to charity.","The Challenge for today is to share appreciation you have with three friends who support your character."
"Do Something","Even if you are on the right track, you'll get run over if you just sit there.","Will Rogers","Rogers was a Cherokee-American cowboy, comedian, social commentator, vaudeville performer and actor. ","The Challenge for today is to take action.  What is one thing you can to about something you've been avoiding or putting off."
"I Am","The words 'I am...' are potent words:  be careful what you hitch to them.  The thing you're claiming has a way of reaching back and claiming you.","A.L. Kitselman","Kitselman was born in the mid-west and practiced his mathematical abilities in the west, where he got involved in early versions of computer programming languages.  ","The Challenge for today is to choose positive thoughts.  Find a friend and share three things you love about who you are and then invite your friend to do the same."
"Accomplishment","I have not a shadow of a doubt that any man or woman can achieve what I have, if he or she would make the same effort and cultivate the same hope and faith.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement. He believed in moving the masses by acts of non-violent civil disobedience. His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to choose something you feel passionate about and decide two ways you can commit your time and efforts to it."
"Spiral of Influence","We must go within or we will go without.  The best way to influence the world around us is to start looking deeply into our own hearts and souls.  Consider what truly excites you in life, what gives you meaning and what gives you purpose?","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to do one thing that feeds your heart and soul.  Know your choice influences others."
"Stand Up and Speak Out","In the end we will not so much remember the words of our enemies as the silence of our friends.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to look for an  opportunity to support the people around you by standing up and speaking out against teasing, bullying and other forms of oppression."
"Find a Cheerleader","Surround yourself only with people who are going to lift you higher.","Oprah Winfrey","Winfrey is an American television host, media mogul and philanthropist.  Born in rural Mississippi to a poor unwed teenage mother, Winfrey began her career at the early age of 19 co-anchoring the local evening news and is now regarded as one of the world's most influential women.","The Challenge for today is to think of one ways that support could come from outside your immediate circle.  Pay close attention to your interactions and make sure to spend time with people who love and celebrate you as you are."
"Celebrate the Good","The greatest good you can do for another is not just share your riches, but reveal to them their own.","Benjamin Disraeli","Disraeli was a British Conservative statesman and literary figure. He served in government for three decades, twice as Prime Minister -- the first and only Jewish person to do so, thus far.","The Challenge for today is to be generous with five compliments.  Let people know the great things you see in them."
"Nothing is Lacking","When you realize nothing is lacking, the whole world belongs to you.","Lao Tzu","According to Chinese tradition, Lao Tzu lived in the 6th century. He was a philosopher of ancient China and is a key figure in Taoism.  Lao Tzu or Laozi literally means 'Old Master.","The Challenge for today is to take time to appreciate the good things in your life.  Share three things you appreciate with a friend or family member."
"Success","The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack of will.' ","Vince Lombardi","Lombardi was an American football coach.  He was the head coach of the Green Bay Packers for the NFL from 1959-67.  During his nine-year coaching career, he won five league championships.  After coaching the Packers, Lombardi took a one-year retirement and returned as head coach of the Washington Redskins for the 1969 season.","The Challenge for today is to foster success by committing yourself to a project, assignment or powerful way of being."
"Vision","Just because a man lacks the use of his eyes doesn't mean he lacks vision.","Stevie Wonder","Wonder is an American singer-songwriter, multi-instrumentalist and record producer, and is a prominent figure of 20th century popular music.","The Challenge for today is to find someone you trust and share your highest vision for yourself and for your life."
"Teamwork","Interdependence is and ought to be as much the ideal of man as self-sufficiency.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement. He believed in moving the masses by acts of non-violent civil disobedience. His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to find two ways to work together with others.  Do a project, play a game or do anything else that allows you to have a real experience of team and connection."
"Greatness","Few will have the greatness to bend history itself; but each of us can work to change a small portion of events, and in the total of all those acts will be written the history of this generation.","Robert F. Kennedy","Kennedy, also referred to as RFK, was the United States Attorney General from 1961-1964 and a U.S. Senator from New York from 1965 until his assassination in 1968.","The Challenge for today is to do one thing to contribute to something important to you in a big way."
"Dream Big","The only limit to our realization of tomorrow will be our doubts of today.","Franklin D. Roosevelt","Roosevelt, often referred to by his initials FDR, was the 32nd president of the United States.  He was the only president to serve more than two terms.  During the Great Depression of the 1930s, Roosevelt created the New Deal to provide relief for the unemployed, recovery of the economy and reform of the economic and banking systems.  What is least known about FDR is that he contracted Polio and spent most of his presidency trying to hide his illness from the public eye.","The Challenge for today is to notice any way you are playing small, giving up on a dream or doubting yourself.  Choose thoughts and beliefs that will support you in obtaining your goals."
"Asking","Many things are lost for want of asking.","English Proverb",,"The Challenge for today is to take the risk of asking for something you really want."
"Excellence","We are what we repeatedly do.  Excellence, then, is not an act but a habit.","Aristotle","Aristotle was a Greek philosopher, a student of Plato and teacher of Alexander the Great.  He is one of the most important founding figures in Western philosophy, encompassing morality and aesthetics, logic and science, politics and metaphysics.  His influence has shaped modern physics as we know it.  His earliest studies were focused on logic which has since played an instrumental role in what scientists now call 'formal logic.","The Challenge for today is to look for two instances where you can strive for excellence. "
"Regret","Forget regret, or life is yours to miss.","Jonathon Larson","Larson was an American composer and playwright noted for his work on serious social issues including multiculturalism, addiction, homophobia, and AIDS.  He was honored with the Tony Award for Best Musical and Pulitzer Prize for Drama for his work on Rent, which opened on Broadway the day after his death.","The Challenge for today is to think of two ways you can start overcoming a regret you may have in life.  How can you move beyond and perhaps see a gift?"
"Look in the Mirror","A human being's first responsibility is to shake hands with himself.","Henry Winkler","Winkler is a Golden Globe Award-winning American actor, director, producer, and author.  He is most famous for his role as Arthur 'Fonzie' Fonzarelli on the sitcom Happy Days.","The Challenge for today is to look in the mirror.  What do you see that you love?"
"Failure","You miss 100% of the shots you never take.","Wayne Gretzky","Gretzky, nicknamed 'The Great One,' is a retired Canadian professional ice hockey player inducted into the Hockey Hall of Fame in 1999.","The Challenge for today is to think of two situations where you have not gotten the results you wanted but can still appreciate the fact that you tried."
"Looking for Circumstances","People are always blaming their circumstances for what they are.  I don't believe in circumstances.  The people who get on in this world are the people who get up and look for the circumstances they want, and, if they can't find them, they make them.","George Bernard Shaw","Shaw, born in Dublin, Ireland, moved to London in his early 20s and lived there for the duration of his life.  Although Shaw's first profitable writing was music and literary criticism, his talent was for drama and he wrote more than sixty plays.  Most of his work surrounded the exploitation of working class men and women.  He is the only person to have been awarded both a Nobel Prize for Literature (1924) and an Academy Award (1938), both of which were granted for his literary contributions.","The Challenge for today is to take at least one action that helps you create the life and school of your dreams."
"Meaning","The way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you and devote yourself to creating something that gives you purpose and meaning.' ","Mitch Albom","Albom is an internationally renowned and best-selling author, journalist, screenwriter, playwright, radio and television broadcaster and musician.  He is author of the bestselling memoir of all time, Tuesdays with Morrie.  ","The Challenge for today is to think of one thing worthy of your devotion and how you can create it."
"Compliments","I can live two months on a good compliment.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is to share at least five genuine compliments with people who have touched your heart in some way."
"Obstacles","Obstacles are those frightful things you see when you take your eyes off your goal.","Henry Ford","Ford was the American founder of the Ford Motor Company and father of modern assembly lines used in mass production.  His introduction of the Model T automobile revolutionized transportation and American industry.","The Challenge for today is to try new ways to stay focused on at least one goal.  Keep your eyes on the goal."
"Duty","Duty is a very personal thing.  It is what comes from knowing the need to take action, and not just a need to urge others to do something.","Mother Teresa","Mother Teresa was a Roman Catholic nun who founded the Missionaries of Charity in Calcutta, India in 1950.  She was known for her kind heart and avid humanitarianism, as well as her advocacy for the poor and helpless.  For more than 40 years she ministered to the poor, sick, orphaned and dying.  She won the Nobel Peace Prize in 1979 and India's highest civilian honor, the Bharah Ratna, in 1980 for her humanitarian work.","The Challenge for today is to choose to do something that you've been putting off."
"Growth","Spoon feeding in the long run teaches us nothing but the shape of the spoon.","Edward Morgan Forster","Forster was an English novelist, short story writer, essayist and librettist.  He is best known for his ironic and well-plotted novels examining class difference and hypocrisy, as well as attitudes toward gender.","The Challenge for today is to think of how you can take action on something for which you've relied on others to do for you."
"Gift of the Present","Yesterday is history, tomorrow is a mystery, but today is a gift; that's why we call it the present.","Winnie the Pooh","Winnie the Pooh, commonly known as Pooh Bear, first appeared as a character in A.A. Milne's books Winnie-the-Pooh (1926) and The House at Pooh Corner (1928.)  Rights for Milne's characters were licensed by Walt Disney Productions in 1961.","The Challenge for today is to think of one regret or one worry about the future and bring them both to the present.  Notice what happens from moment to moment and choose your best response to all that occurs."
"Giving","From what we get we make a living.  What we give, however, makes a life.","Arthur Ashe","In 1965 Arthur Ashe became one of the first African-American professional tennis players of his time.  Ashe is best known for being the first African American man to win the men's singles at Wimbledon, the U.S. Open and Australian Open.","The Challenge for today is to give your time or another gift to at least one other person."
"Contribution","In every community there is work to be done. In every nation,  there are wounds to heal.  In every heart, there is power to do it.' ","Marianne Williamson","Williamson is a spiritual activist, author, lecturer and founder of The Peace Alliance, a grass-roots campaign supporting legislation currently before Congress to establish a United States Department of Peace.","The Challenge for today is to think of a problem and two ways you can be a part of its solution.  Whatever it is, take positive action and contribute."
"What You Give","Remember that when you leave this earth, you can take with you nothing that you have received, only what you have given:  a full heart, enriched by honest service, love, sacrifice and courage.","St. Francis of Assisi","St. Francis of Assisi was a Roman Catholic friar and the founder of the Order of Friars Minor, more commonly known as the Franciscans.  He is known as the patron saint of animals, birds, the environment and Italy.","The Challenge for today is to look for three opportunities where you can give to others."
"Learning","Learning takes place when you suddenly understand something you've understood all your life, but in a new way.","Doris Lessing","Lessing is a Zimbabwean-British writer and, in 2007, is the oldest person to ever win the Nobel Prize in Literature.","The Challenge for today is to thank two people who have helped you learn in new ways."
"Asking Questions","I never learn anything talking.   I only learn things when I ask questions.","Lou Holtz","Holtz is an author, television commentator, motivational speaker and former NCAA football and NFL head coach.  He is the only coach in NCAA history to lead six different programs to bowl games and the only coach to guide four different programs to the final top 20 rankings.","The Challenge for today is to think of two situations where you could have learned more by asking questions."
"Teamwork","Teamwork is the ability to work together toward a common vision. ...It is the fuel that allows common people to obtain uncommon results.","Andrew Carnegie","Carnegie was a Scottish-born American industrialist, businessman and a major philanthropist.  He built Pittsburgh's Carnegie Steel Company, which eventually merged with other steel companies to become U.S. Steel.  With his wealth he turned to philanthropy and interests in education, founding Carnegie Corporation of New York, Carnegie Endowment for International Peace and Carnegie Mellon University in Pittsburgh.","The Challenge for today is to work with a team to do something to bring yourself a sense of pride."
"Different Talents","When different talents and ideas rub up against each other, there is friction, yes.  But also sparks, fire, light and eventually brilliance.' ","Nance O'Neil","O'Neil (also Nancy O'Neil) was an American actress of stage and silent cinema of the early 20th century.  She was married to actor Alfred Hickman, but was perhaps best known for her association and purported romantic affair with the notorious Lizzie Borden.","The Challenge for today is to make your presence known.  Share your ideas and talents with those around you."
"Loyalty","Loyalty means not that I agree with everything you say, or that you believe you are always right.  Loyalty means that I share a common ideal with you and that, regardless of minor differences, we strive for it, shoulder to shoulder, confident in one another's goodwill and consistency.","Karl Menninger, M.D.","Menninger was an American psychiatrist and a member of the famous Menninger family of psychiatrists, who founded the Menninger Foundation and the Menninger Clinic in Topeka, Kansas.","The Challenge for today is to choose two friends to whom you feel loyal and let them know how much you believe in them."
"Power of One","Imagine what would happen if each of us decides to reach just a little bit harder, to care just a little bit more.  That's the power of one.'  ","Gil Atkinson","Atkinson an American inventor who invented the automatic sprinkler.","The Challenge for today to think of one instance where you can reach a little harder, care a little more and remember that you can be a force for change."
"Significance","Just as there are no little people or unimportant lives, there is no insignificant work.","Elena Bonner","Bonner is a former dissident, human rights activist and the widow of Nobel Peace Prize laureate Andrei Sakharov.","The Challenge for today is to thank two people for the job they do and the difference they make. "
"Helping Others","As you grow older, you will discover that you have two hands, one for helping yourself and the other for helping others.","Sam Levenson","Levenson was an American humorist, writer, television host and journalist.","The Challenge for today is to think of an act of kindness that would help you and another."
"Education","He is educated who knows how to find out what he doesn't know.","George Simmel","Simmel was one of the first generation of German sociologists.  His studies pioneered the concept of social structure, and he was a key precursor of social network analysis.","The Challenge for today is to thank someone who has helped you learn something you previously did not know."
"Hope","If we were logical, the future might look bleak, indeed.  But we are more than logical.  We are human beings, and we have faith, and we have hope, and we can work.","Jacques Cousteau","Cousteau was a French naval officer, explorer, ecologist, filmmaker, scientist, photographer, author and researcher who studied the sea and all forms of life in water.  He was a pioneer for marine conservation.  He was often referred to as 'Captain Cousteau.","The Challenge for today is remember one thing you can do to keep the faith and work toward positive solutions.  Do what you can to stay focused and do it."
"Commitment","Commitment is never an act of moderation.","Kenneth G. Mills  ","Mills is described as a 'true renaissance man.'  His life unfolded through a deep interest in music, art, philosophy and education.","The Challenge for today is to remember one goal to which you'll stay committed.  You must stay determined and focused to achieve your desired goal."
"Beyond Your Lifetime","Think beyond your lifetime if you want to accomplish something truly worthwhile.","Walt Disney","Disney was a multiple Academy Award-winning American film producer, director, screenwriter, voice actor, animator, entrepreneur and philanthropist.  Disney and his staff created many of the world's most famous fictional characters, including the one many consider Disney's alter ego, Mickey Mouse.","The Challenge for today is to consider the legacy you would like to leave for this world and the difference you would like to make for the future.  Share your vision with at least one other person."
"Powerful Leadership","Leadership often involves stepping outside the social norm to create positive change. If you want to know if something is cool to do, there is only one place you need to look ... in your own heart!","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to look into your heart and take a leadership role.  Do one thing to make a positive difference, even if it doesn't seem cool yet."
"Happiness","Those who are not looking for happiness are the most likely to find it, because those who are searching forget that the surest way to be happy is to seek happiness for others.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to spend your day looking for two opportunities to bring happiness to the lives of others."
"Laughter","If I were given the opportunity to present a gift to the next generation, it would be the ability for each individual to learn to laugh at himself.","Charles M. Schulz","Schulz was an American cartoonist best known for his Peanuts comic strip featuring Charlie Brown and his beagle, Snoopy.","The Challenge for today is to share a funny story about yourself with someone you would like to get to know better."
"Make a Difference","I believe that one of the most important things to learn in life is that you can make a difference in your community no matter who you are or where you live.","Rosalynn Carter","Carter is the wife of former President of the United States, Jimmy Carter.  As First Lady she was an advocate for numerous causes, perhaps most notably for mental heath research.","The Challenge for today is to look for three little ways you can serve others."
"Human Effort","If the world is to be healed through human efforts, I am convinced it will be by ordinary people, people whose love for this life is even greater than their fear.","Joanna Macy","Macy is a scholar of Buddhism, general systems theory and deep ecology and is a voice in movements for peace, justice and safe environment.  She has created a theoretical framework for personal and social change along with a workshop methodology for its application.","The Challenge for today is to thank someone you know has gone the extra mile for you and others."
"Contradiction","Be open to learning new lessons even if they contradict the lessons you learned yesterday.","Ellen DeGeneres","DeGeneres is an eleven-time Emmy Award-winning American stand-up comedienne, television hostess and actress.","The Challenge for today is to think of a time you have learned something new which may have contradicted what you previously believed."
"How Will You Spend Today?","How we spend our days is, of course, how we spend our lives.","Annie Dillard","Dillard is a Pulitzer Prize-winning American author, best known for narrative nonfiction.","The Challenge for today is to decide how you will live your day.  Where will you focus your attention?  What will you do to serve?"
"Listening","The less you talk, the more you're listened to.","Abigail Van Buren","Better known as Abby to her readers, Van Buren was the pen name used by Pauline Phillips for her advice column 'Dear Abby' founded in 1956.","The Challenge for today is to listen more intently during a conversation."
"Greatest Secrets","Above all, watch with glittering eyes the whole world around you, because the greatest secrets are always hidden in the most unlikely places.  Those who don't believe in magic, will never find it.","Ronald Dahl","Born in Wales, Dahl was a British novelist, short story writer and screenwriter.  He rose to prominence in the 1940s from his literary works for both children and adults.  His most popular books included The Twits, Charlie and the Chocolate Factory, James and the Giant Peach, Matilda, The Witches and The BFG.","The Challenge for today is to look through eyes of wonder.  What is one 'magical' experience you see?"
